TEMP	PRES	VAPOR PHI ACETONE	VAPOR PHI METHANOL	VAPOR PHI ETHANOL	LIQUID PHI ACETONE	LIQUID PHI METHANOL	LIQUID PHI ETHANOL
K	bar					
321.44	1	0.974383	0.9847501	0.9797606	0.7538364	0.5115496	0.2714697
321.52	1	0.9744	0.9847603	0.979774	0.7559883	0.513342	0.2725206
321.6	1	0.974417	0.9847704	0.9797874	0.7581449	0.5151395	0.2735749
321.68	1	0.974434	0.9847805	0.9798008	0.7603064	0.5169423	0.2746327
321.76	1	0.9744509	0.9847906	0.9798142	0.7624728	0.5187504	0.2756939
321.84	1	0.9744679	0.9848006	0.9798276	0.7646439	0.5205636	0.2767586
321.92	1	0.9744848	0.9848107	0.979841	0.7668198	0.5223822	0.2778267
322	1	0.9745018	0.9848208	0.9798543	0.7690006	0.524206	0.2788984
322.08	1	0.9745187	0.9848308	0.9798677	0.7711863	0.5260351	0.2799735
322.16	1	0.9745356	0.9848409	0.979881	0.7733768	0.5278695	0.2810521
322.24	1	0.9745524	0.9848509	0.9798943	0.7755721	0.5297092	0.2821343
322.32	1	0.9745693	0.984861	0.9799076	0.7777723	0.5315542	0.2832199
322.4	1	0.9745862	0.984871	0.9799209	0.7799774	0.5334045	0.2843091
322.48	1	0.974603	0.984881	0.9799342	0.7821873	0.5352602	0.2854018
322.56	1	0.9746198	0.984891	0.9799475	0.7844022	0.5371212	0.286498
322.64	1	0.9746366	0.984901	0.9799607	0.7866219	0.5389876	0.2875978
322.72	1	0.9746534	0.984911	0.979974	0.7888465	0.5408594	0.2887012
322.8	1	0.9746702	0.984921	0.9799872	0.7910761	0.5427365	0.2898081
322.88	1	0.974687	0.9849309	0.9800005	0.7933105	0.5446191	0.2909186
322.96	1	0.9747037	0.9849409	0.9800137	0.7955499	0.5465071	0.2920327
323.04	1	0.9747204	0.9849508	0.9800269	0.7977942	0.5484005	0.2931504
323.12	1	0.9747372	0.9849608	0.9800401	0.8000434	0.5502993	0.2942716
323.2	1	0.9747539	0.9849707	0.9800532	0.8022976	0.5522036	0.2953965
323.28	1	0.9747706	0.9849806	0.9800664	0.8045567	0.5541133	0.2965251
323.36	1	0.9747872	0.9849906	0.9800796	0.8068208	0.5560285	0.2976572
323.44	1	0.9748039	0.9850005	0.9800927	0.8090898	0.5579492	0.298793
323.52	1	0.9748205	0.9850104	0.9801058	0.8113638	0.5598754	0.2999325
323.6	1	0.9748372	0.9850203	0.980119	0.8136428	0.5618071	0.3010756
323.68	1	0.9748538	0.9850301	0.9801321	0.8159268	0.5637443	0.3022224
323.76	1	0.9748704	0.98504	0.9801452	0.8182157	0.5656871	0.3033728
323.84	1	0.974887	0.9850499	0.9801583	0.8205097	0.5676354	0.304527
323.92	1	0.9749035	0.9850597	0.9801713	0.8228086	0.5695892	0.3056848
324	1	0.9749201	0.9850696	0.9801844	0.8251126	0.5715486	0.3068464
324.08	1	0.9749366	0.9850794	0.9801975	0.8274216	0.5735136	0.3080117
324.16	1	0.9749532	0.9850892	0.9802105	0.8297356	0.5754842	0.3091807
324.24	1	0.9749697	0.9850991	0.9802235	0.8320547	0.5774604	0.3103534
324.32	1	0.9749862	0.9851089	0.9802366	0.8343788	0.5794422	0.3115299
324.4	1	0.9750027	0.9851187	0.9802496	0.8367079	0.5814297	0.3127101
324.48	1	0.9750191	0.9851285	0.9802626	0.8390421	0.5834228	0.3138941
324.56	1	0.9750356	0.9851383	0.9802755	0.8413814	0.5854215	0.3150819
324.64	1	0.975052	0.985148	0.9802885	0.8437257	0.5874259	0.3162734
324.72	1	0.9750684	0.9851578	0.9803015	0.8460751	0.589436	0.3174688
324.8	1	0.9750849	0.9851676	0.9803144	0.8484296	0.5914517	0.3186679
324.88	1	0.9751013	0.9851773	0.9803274	0.8507892	0.5934732	0.3198708
324.96	1	0.9751176	0.9851871	0.9803403	0.8531539	0.5955004	0.3210776
325.04	1	0.975134	0.9851968	0.9803532	0.8555237	0.5975333	0.3222882
325.12	1	0.9751504	0.9852065	0.9803661	0.8578986	0.5995719	0.3235027
325.2	1	0.9751667	0.9852162	0.980379	0.8602786	0.6016163	0.3247209
325.28	1	0.975183	0.985226	0.9803919	0.8626637	0.6036665	0.3259431
325.36	1	0.9751993	0.9852357	0.9804048	0.865054	0.6057224	0.3271691
325.44	1	0.9752156	0.9852453	0.9804176	0.8674495	0.6077842	0.328399
325.52	1	0.9752319	0.985255	0.9804305	0.86985	0.6098517	0.3296328
325.6	1	0.9752482	0.9852647	0.9804433	0.8722557	0.611925	0.3308704
325.68	1	0.9752644	0.9852744	0.9804561	0.8746666	0.6140042	0.332112
325.76	1	0.9752807	0.985284	0.9804689	0.8770827	0.6160892	0.3333575
325.84	1	0.9752969	0.9852937	0.9804817	0.8795039	0.6181801	0.3346069
325.92	1	0.9753131	0.9853033	0.9804945	0.8819303	0.6202768	0.3358603
326	1	0.9753293	0.985313	0.9805073	0.884362	0.6223794	0.3371176
326.08	1	0.9753455	0.9853226	0.9805201	0.8867988	0.6244878	0.3383788
326.16	1	0.9753617	0.9853322	0.9805329	0.8892408	0.6266022	0.3396441
326.24	1	0.9753778	0.9853418	0.9805456	0.891688	0.6287225	0.3409132
326.32	1	0.975394	0.9853514	0.9805583	0.8941405	0.6308487	0.3421864
326.4	1	0.9754101	0.985361	0.9805711	0.8965981	0.6329809	0.3434636
326.48	1	0.9754262	0.9853706	0.9805838	0.899061	0.635119	0.3447448
326.56	1	0.9754423	0.9853802	0.9805965	0.9015292	0.6372631	0.3460299
326.64	1	0.9754584	0.9853897	0.9806092	0.9040026	0.6394131	0.3473192
326.72	1	0.9754745	0.9853993	0.9806219	0.9064812	0.6415692	0.3486124
326.8	1	0.9754905	0.9854088	0.9806345	0.9089651	0.6437312	0.3499097
326.88	1	0.9755065	0.9854184	0.9806472	0.9114543	0.6458992	0.351211
326.96	1	0.9755226	0.9854279	0.9806598	0.9139488	0.6480733	0.3525164
327.04	1	0.9755386	0.9854374	0.9806725	0.9164485	0.6502534	0.3538259
327.12	1	0.9755546	0.9854469	0.9806851	0.9189536	0.6524396	0.3551394
327.2	1	0.9755706	0.9854564	0.9806977	0.9214639	0.6546318	0.3564571
327.28	1	0.9755866	0.9854659	0.9807103	0.9239796	0.6568301	0.3577788
327.36	1	0.9756025	0.9854754	0.9807229	0.9265005	0.6590345	0.3591047
327.44	1	0.9756185	0.9854849	0.9807355	0.9290268	0.661245	0.3604347
327.52	1	0.9756344	0.9854944	0.9807481	0.9315584	0.6634616	0.3617688
327.6	1	0.9756503	0.9855039	0.9807606	0.9340953	0.6656844	0.363107
327.68	1	0.9756662	0.9855133	0.9807732	0.9366376	0.6679133	0.3644494
327.76	1	0.9756821	0.9855228	0.9807857	0.9391853	0.6701483	0.365796
327.84	1	0.975698	0.9855322	0.9807982	0.9417382	0.6723895	0.3671467
327.92	1	0.9757138	0.9855416	0.9808107	0.9442966	0.6746369	0.3685016
328	1	0.9757297	0.9855511	0.9808233	0.9468603	0.6768905	0.3698608
328.08	1	0.9757455	0.9855605	0.9808357	0.9494294	0.6791503	0.3712241
328.16	1	0.9757613	0.9855699	0.9808482	0.9520039	0.6814163	0.3725916
328.24	1	0.9757771	0.9855793	0.9808607	0.9545838	0.6836885	0.3739633
328.32	1	0.9757929	0.9855887	0.9808732	0.9571691	0.685967	0.3753393
328.4	1	0.9758087	0.9855981	0.9808856	0.9597597	0.6882517	0.3767195
328.48	1	0.9758245	0.9856074	0.9808981	0.9623558	0.6905427	0.378104
328.56	1	0.9758402	0.9856168	0.9809105	0.9649574	0.69284	0.3794928
328.64	1	0.975856	0.9856262	0.9809229	0.9675643	0.6951436	0.3808858
328.72	1	0.9758717	0.9856355	0.9809353	0.9701767	0.6974535	0.3822831
328.8	1	0.9758874	0.9856449	0.9809477	0.9727945	0.6997697	0.3836847
328.88	1	0.9759031	0.9856542	0.9809601	0.9754178	0.7020922	0.3850906
328.96	1	0.9759188	0.9856635	0.9809725	0.9780465	0.7044211	0.3865008
329.04	1	0.9759344	0.9856729	0.9809848	0.9806807	0.7067564	0.3879153
329.12	1	0.9759501	0.9856822	0.9809972	0.9833204	0.709098	0.3893342
329.2	1	0.9759657	0.9856915	0.9810095	0.9859655	0.7114461	0.3907574
329.28	1	0.9759814	0.9857008	0.9810219	0.9886162	0.7138005	0.3921849
329.36	1	0.975997	0.98571	0.9810342	0.9912723	0.7161613	0.3936169
329.44	1	0.9760126	0.9857193	0.9810465	0.9939339	0.7185286	0.3950532
329.52	1	0.9760282	0.9857286	0.9810588	0.996601	0.7209023	0.3964939
329.6	1	0.9760438	0.9857379	0.9810711	0.9992737	0.7232824	0.397939
329.68	1	0.9760593	0.9857471	0.9810834	1.001952	0.7256691	0.3993885
329.76	1	0.9760749	0.9857564	0.9810956	1.004636	0.7280622	0.4008424
329.84	1	0.9760904	0.9857656	0.9811079	1.007325	0.7304618	0.4023007
329.92	1	0.9761059	0.9857748	0.9811201	1.01002	0.7328679	0.4037635
330	1	0.9761214	0.9857841	0.9811324	1.01272	0.7352805	0.4052308
330.08	1	0.9761369	0.9857933	0.9811446	1.015426	0.7376996	0.4067025
330.16	1	0.9761524	0.9858025	0.9811568	1.018137	0.7401253	0.4081786
330.24	1	0.9761679	0.9858117	0.981169	1.020854	0.7425576	0.4096593
330.32	1	0.9761833	0.9858209	0.9811812	1.023577	0.7449964	0.4111444
330.4	1	0.9761988	0.9858301	0.9811934	1.026305	0.7474419	0.412634
330.48	1	0.9762142	0.9858392	0.9812056	1.029039	0.7498939	0.4141282
330.56	1	0.9762296	0.9858484	0.9812177	1.031778	0.7523525	0.4156269
330.64	1	0.976245	0.9858576	0.9812299	1.034523	0.7548178	0.4171301
330.72	1	0.9762604	0.9858667	0.981242	1.037274	0.7572897	0.4186378
330.8	1	0.9762758	0.9858758	0.9812542	1.04003	0.7597682	0.4201501
330.88	1	0.9762911	0.985885	0.9812663	1.042792	0.7622534	0.421667
330.96	1	0.9763065	0.9858941	0.9812784	1.045559	0.7647453	0.4231884
331.04	1	0.9763218	0.9859032	0.9812905	1.048333	0.7672439	0.4247145
331.12	1	0.9763371	0.9859123	0.9813026	1.051111	0.7697492	0.4262451
331.2	1	0.9763524	0.9859215	0.9813147	1.053896	0.7722612	0.4277803
331.28	1	0.9763677	0.9859305	0.9813267	1.056686	0.77478	0.4293202
331.36	1	0.976383	0.9859396	0.9813388	1.059482	0.7773055	0.4308647
331.44	1	0.9763983	0.9859487	0.9813509	1.062283	0.7798378	0.4324138
331.52	1	0.9764135	0.9859578	0.9813629	1.06509	0.7823768	0.4339676
331.6	1	0.9764288	0.9859669	0.9813749	1.067903	0.7849226	0.435526
331.68	1	0.976444	0.9859759	0.9813869	1.070722	0.7874752	0.4370891
331.76	1	0.9764592	0.985985	0.9813989	1.073546	0.7900347	0.4386569
331.84	1	0.9764744	0.985994	0.9814109	1.076376	0.7926009	0.4402294
331.92	1	0.9764896	0.986003	0.9814229	1.079212	0.7951741	0.4418066
332	1	0.9765048	0.9860121	0.9814349	1.082053	0.797754	0.4433885
332.08	1	0.97652	0.9860211	0.9814469	1.0849	0.8003409	0.4449751
332.16	1	0.9765351	0.9860301	0.9814588	1.087753	0.8029346	0.4465665
332.24	1	0.9765503	0.9860391	0.9814708	1.090612	0.8055352	0.4481626
332.32	1	0.9765654	0.9860481	0.9814827	1.093477	0.8081427	0.4497635
332.4	1	0.9765805	0.9860571	0.9814946	1.096347	0.8107572	0.4513691
332.48	1	0.9765956	0.9860661	0.9815065	1.099223	0.8133786	0.4529796
332.56	1	0.9766107	0.986075	0.9815185	1.102104	0.8160069	0.4545948
332.64	1	0.9766257	0.986084	0.9815303	1.104992	0.8186422	0.4562148
332.72	1	0.9766408	0.986093	0.9815422	1.107885	0.8212845	0.4578396
332.8	1	0.9766559	0.9861019	0.9815541	1.110785	0.8239338	0.4594693
332.88	1	0.9766709	0.9861108	0.981566	1.11369	0.8265901	0.4611038
332.96	1	0.9766859	0.9861198	0.9815778	1.1166	0.8292534	0.4627432
333.04	1	0.9767009	0.9861287	0.9815897	1.119517	0.8319238	0.4643874
333.12	1	0.9767159	0.9861376	0.9816015	1.122439	0.8346012	0.4660364
333.2	1	0.9767309	0.9861465	0.9816133	1.125368	0.8372856	0.4676904
333.28	1	0.9767459	0.9861554	0.9816251	1.128302	0.8399772	0.4693492
333.36	1	0.9767608	0.9861643	0.9816369	1.131242	0.8426758	0.471013
333.44	1	0.9767758	0.9861732	0.9816487	1.134188	0.8453815	0.4726816
333.52	1	0.9767907	0.9861821	0.9816605	1.137139	0.8480944	0.4743552
333.6	1	0.9768056	0.986191	0.9816723	1.140097	0.8508144	0.4760337
333.68	1	0.9768205	0.9861998	0.9816841	1.14306	0.8535415	0.4777172
333.76	1	0.9768354	0.9862087	0.9816958	1.14603	0.8562758	0.4794056
333.84	1	0.9768503	0.9862176	0.9817075	1.149005	0.8590172	0.481099
333.92	1	0.9768652	0.9862264	0.9817193	1.151986	0.8617659	0.4827974
334	1	0.97688	0.9862352	0.981731	1.154973	0.8645217	0.4845008
334.08	1	0.9768949	0.9862441	0.9817427	1.157966	0.8672848	0.4862092
334.16	1	0.9769097	0.9862529	0.9817544	1.160965	0.8700551	0.4879225
334.24	1	0.9769245	0.9862617	0.9817661	1.16397	0.8728327	0.4896409
334.32	1	0.9769393	0.9862705	0.9817778	1.166981	0.8756175	0.4913644
